"gender","Job.Title.Description","Termination.Reason.Description","City","Pay.Frequency","Pay.Grade.Description","Protected.Veteran.Status","Voluntary.Involuntary.Termination.Flag","years_club","Attrition"
"Male","LPN 8th Flr",NA,"Rochester","Weekly","26","2","No Info","Potential","0"
"Female","LPN 8th Flr",NA,"Rochester","Weekly","26","2","No Info","Potential","0"
"Female","C/O Waitstaff",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Female","Director Billing & AR",NA,"Henrietta","Biweekly","32","2","No Info","Club20","0"
"Female","CNA WTCC2",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","SA Receptionist",NA,"Rochester","Weekly","21","No Answer","No Info","Potential","0"
"Female","Protective Svc Officer",NA,"Rochester","Weekly","21","2","No Info","Potential","0"
"Female","Nursing Supervisor",NA,"Rochester","Weekly","32","2","No Info","Potential","0"
"Female","Recreation Therapist",NA,"Webster","Weekly","25","No Answer","No Info","Club30","0"
"Female","Cook Assistant",NA,"Rochester","Weekly","20","2","No Info","Club10","0"
"Female","CNA 3rd Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","Dining Service Assistant",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Female","RN WTCC3",NA,"West Henrietta","Weekly","30","No Answer","No Info","Club30","0"
"Male","Staff Pharmacist",NA,"Rochester","Biweekly","37","No Answer","No Info","Club30","0"
"Male","CNA SCU",NA,"Rochester","Weekly","22","No Answer","No Info","Potential","0"
"Female","CNA WTCC2",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Male","CNA 6th Flr",NA,"Rochester","Weekly","22","2","No Info","Club10","0"
"Female","Food & Nutrition Admin Assist",NA,"Rochester","Weekly","25","No Answer","No Info","Club10","0"
"Female","TCC Dining Ambassador",NA,"Rochester","Weekly","21","No Answer","No Info","Potential","0"
"Male","Resident Account Rep","Another Job","Rochester","Weekly","25","2","No Info","Club10","1"
"Female","CNA WTCC2",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","Dining Service Assistant","Abandoned Job","Rochester","Weekly","20","2","2","Potential","1"
"Female","CNA SACC",NA,"Webster","Weekly","22","2","No Info","Potential","0"
"Male","Food Service Manager",NA,"Rochester","Biweekly","29","No Answer","No Info","Club20","0"
"Female","Occupational Therapist",NA,"Walworth","Biweekly","32","No Answer","No Info","Club30","0"
"Female","Retail Manager",NA,"Phelps","Biweekly","29","No Answer","No Info","Club20","0"
"Female","LPN 6th Flr",NA,"Rochester","Weekly","26","2","No Info","Potential","0"
"Female","Per Diem Phys. Therapist",NA,"Rochester","Weekly","74- Per Diem: PT/OT/Speech Path","2","No Info","Potential","0"
"Female","CNA 7th Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","Per Diem Speech Path",NA,"Farmington","Weekly","74- Per Diem: PT/OT/Speech Path","No Answer","No Info","Club20","0"
"Male","CNA SACC",NA,"Ontario","Weekly","22","4","No Info","Potential","0"
"Female","CNA 5th Flr",NA,"rochester","Weekly","22","2","No Info","Potential","0"
"Female","CNA LCC",NA,"Rochester","Weekly","22","No Answer","No Info","Club10","0"
"Female","HR Administrative Assistant",NA,"Rochester","Weekly","25","No Answer","No Info","Club20","0"
"Male","Laundry Worker",NA,"Rochester","Weekly","20","No Answer","No Info","Potential","0"
"Female","Nursing Supervisor",NA,"Rochester","Weekly","32","2","No Info","Potential","0"
"Female","LPN 9th Flr",NA,"Rochester","Weekly","26","No Answer","No Info","Potential","0"
"Female","CO Marketing Representative","Another Job","Webster","Biweekly","28","2","No Info","Potential","1"
"Female","CNA SACC",NA,"rochester","Weekly","22","No Answer","No Info","Club30","0"
"Female","PT Assistant",NA,"Rochester","Weekly","27","No Answer","No Info","Potential","0"
"Female","Occupational Therapist",NA,"Williamson","Biweekly","32","No Answer","No Info","Club30","0"
"Female","LPN WTCC1",NA,"Rochester","Weekly","26","2","No Info","Potential","0"
"Male","Nursing Supervisor",NA,"Rochester","Weekly","32","No Answer","No Info","Club30","0"
"Female","Physical Therapist",NA,"Williamson","Biweekly","32","No Answer","No Info","Club10","0"
"Female","LPN WTCC1",NA,"Brockport","Weekly","26","No Answer","No Info","Club30","0"
"Female","CNA 3rd Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","LPN 3rd Flr",NA,"Rochester","Weekly","26","2","No Info","Potential","0"
"Female","LPN SCU",NA,"Gates","Weekly","26","No Answer","No Info","Potential","0"
"Female","C/O Dining Room Supervisor",NA,"Webster","Weekly","25","2","No Info","Potential","0"
"Female","Retail Service Associate Bistr","Absentee-Tardiness","Rochester","Weekly","22","2","1","Club10","1"
"Female","PM Dining Service Assistant","Poor Performance","Rochester","Weekly","20","2","No Info","Potential","1"
"Female","PT Assistant",NA,"Caledonia","Weekly","27","No Answer","No Info","Potential","0"
"Female","Nursing Supervisor",NA,"Webster","Weekly","32","No Answer","No Info","Club30","0"
"Female","Clinical Dietician",NA,"North Chili","Weekly","28","2","No Info","Potential","0"
"Female","CNA SACC",NA,"Walworth","Weekly","22","2","No Info","Potential","0"
"Female","Clinical Dietician - Part time",NA,"Penfield","Weekly","28","2","No Info","Potential","0"
"Female","Nursing Care Coordinator WTCC3",NA,"Rochester","Weekly","31","No Answer","No Info","Club30","0"
"Female","C/R Assistant Svc",NA,"Rochester","Weekly","20","2","No Info","Club20","0"
"Female","CNA 7th Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","Nutrition Assistant",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","6th Flr Nurse Manager",NA,"Chili","Biweekly","33","No Answer","No Info","Club30","0"
"Female","CNA 6th Flr",NA,"Rochester","Weekly","22","2","No Info","Club10","0"
"Male","Env Svc Assistant",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Male","Operations Manager",NA,"Rochester","Biweekly","32","1","No Info","Potential","0"
"Female","SA Receptionist",NA,"Rochester","Weekly","21","2","No Info","Potential","0"
"Female","Dining Service Assistant",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Female","Operations Manager",NA,"Rochester","Biweekly","32","2","No Info","Potential","0"
"Male","PM Dining Service Assistant",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Female","C/O Waitstaff",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Female","C/O Waitstaff",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
